"id","Vote_time","Gender","Years","Country","PDF_ID1","List1","Knowledge1","PDF_ID2","List2","Knowledge2","PDF_ID3","List3","Knowledge3","PDF_ID4","List4","Knowledge4","PDF_ID5","List5","Knowledge5","PDF_ID6","List6","Knowledge6","PDF_ID7","List7","Knowledge7","PDF_ID8","List8","Knowledge8","PDF_ID9","List9","Knowledge9","PDF_ID10","List10","Knowledge10","PDF_ID11","List11","Knowledge11","PDF_ID12","List12","Knowledge12","PDF_ID13","List13","Knowledge13","PDF_ID14","List14","Knowledge14","PDF_ID15","List15","Knowledge15","PDF_ID16","List16","Knowledge16","PDF_ID17","List17","Knowledge17","PDF_ID18","List18","Knowledge18","PDF_ID19","List19","Knowledge19","PDF_ID20","List20","Knowledge20","IP"
"19","1","M","2","Belgium",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.6.19.52"
"20","1","M","2","France","523","3","1","504","4","1","217","3","1","453","3","1","158","2","1","261","3","2","97","4","1","258","3","1","159","4","1","447","4","2","400","1","2","262","4","1","519","4","2","185","4","2","94","3","1","406","2","2","15","4","1","167","3","2","426","3","2","273","1","2","134.206.126.5"
"21","1","M","2","Denmark","248","4","3","427","3","1","375","4","3","312","3","2","309","4","2","136","3","1","276","1","1","115","4","2","413","0","3","524","0","3","217","4","2","520","3","2","57","3","2","347","4","3","157","4","3","364","4","3","376","4","3","166","3","2","422","3","1","203","0","3","130.225.98.210"
"22","1","M","2","Spain",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"130.225.98.210"
"23","1","M","1","USA","241","3","0","322","4","0","253","3","0","246","3","0","351","4","0","438","4","0","245","4","0","191","4","0","455","3","0","363","4","0","282","4","0","272","3","0","97","4","0","120","4","0","255","0","0","128","0","0","79","0","0","446","0","0","227","0","0","98","0","0","132.205.236.67"
"24","1","M","1","USA","350","3","0","82","3","0","468","4","0","407","3","0","360","4","0","253","4","0","90","3","0","94","4","0","91","4","0","97","4","0","148","3","0","22","3","0","173","3","0","0","0","0","258","0","0","433","0","0","138","0","0","334","0","0","396","0","0","178","0","0","132.205.236.67"
"25","1","M","2","Brazil","197","0","0","497","0","0","50","0","0","392","0","0","461","0","0","495","0","0","95","0","0","260","1","1","512","0","0","64","0","0","201","0","0","282","0","0","211","0","0","117","0","0","405","0","0","66","0","0","215","1","1","543","0","0","359","0","0","438","0","0","200.137.194.2"
"26","1","M","2","USA","101","3","1","98","4","2","538","3","1","407","2","2","170","3","1","214","2","1","336","3","2","302","4","3","233","2","1","378","3","2","95","3","2","90","2","1","545","2","1","96","3","1","399","1","1","375","3","2","167","3","2","344","2","1","126","2","1","240","4","3","128.227.219.67"
"26","2",NULL,NULL,NULL,"77","3","1","25","3","2","458","2","1","309","3","1","427","2","1","502","4","2","356","4","2","515","4","2","376","3","1","341","4","2","452","3","1","31","4","3","209","3","1","485","2","1","535","3","1","46","2","1","164","4","3","359","3","2","71","2","1","40","4","1",NULL
"27","1","M","3","UK","169","1","2","533","3","2","214","4","2","415","3","1","275","4","1","532","4","1","312","4","1","219","4","1","204","4","1","345","2","2","519","4","1","106","4","1","213","2","1","273","4","1","495","4","1","385","4","1","155","4","1","81","3","1","457","4","2","261","4","1","143.234.88.102"
"28","1","F","3","UK","466","3","2","214","1","1","502","3","1","440","3","1","61","3","1","528","1","1","11","3","1","511","3","1","98","3","2","100","4","3","116","3","2","307","2","1","357","1","1","469","4","3","64","4","3","393","4","3","134","4","3","332","4","3","86","1","1","475","3","2","178.208.173.62"
"29","1","M","3","United_States",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"138.246.2.247"
"30","1","F","2","USA","112","4","3","355","4","1","460","2","1","228","1","1","116","4","3","438","0","3","462","2","1","326","0","3","539","4","2","232","3","1","119","4","3","31","4","3","472","4","3","109","4","2","107","4","3","243","4","2","328","4","2","280","3","1","335","3","2","33","4","3","169.237.66.88"
"31","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"32","1","M","3","Mexico__B_A___M__Sc____England__Ph_D__","323","0","0","236","0","0","381","0","0","120","0","0","415","0","0","156","0","0","179","0","0","66","0","0","64","0","0","264","0","0","253","0","0","71","0","0","374","0","0","325","0","0","540","0","0","138","0","0","317","0","0","402","0","0","229","0","0","537","0","0","129.237.92.172"
"32","2",NULL,NULL,NULL,"131","0","0","233","1","1","20","4","1","522","0","0","262","0","0","14","1","1","394","0","0","88","2","1","24","2","2","63","2","1","444","1","1","169","2","2","56","2","1","453","1","1","449","0","0","212","0","0","479","4","1","8","0","0","341","3","1","319","0","0",NULL
"33","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"34","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"35","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"36","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"37","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"38","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"39","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"40","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"41","1","M","2","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.171.51.176"
"42","1","M","2","US",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"130.85.86.72"
"43","1","M","2","USA","38","2","2","20","4","3","266","4","3","129","4","3","250","4","3","530","4","1","237","4","3","500","4","3","269","2","1","69","1","1","431","3","1","440","0","0","209","0","0","489","0","0","126","0","0","433","0","0","379","0","0","527","0","0","245","0","0","472","0","0","62.167.69.11"
"43","2",NULL,NULL,NULL,"43","0","3","165","0","3","210","3","2","325","4","2","256","3","1","135","4","2","370","3","2","471","3","2","443","4","2","336","4","3","172","3","1","455","0","3","227","3","1","170","4","3","222","3","1","333","4","3","9","0","3","513","0","3","271","4","1","272","4","3",NULL
"43","3",NULL,NULL,NULL,"499","0","3","531","4","1","193","4","2","315","4","1","477","0","3","62","0","3","121","4","3","505","3","2","96","0","3","19","4","3","436","4","3","242","3","2","400","3","1","516","4","2","429","0","3","384","0","3","465","1","1","355","4","2","246","3","1","435","0","3",NULL
"44","1","M","2","Chile","194","3","2","427","0","0","250","0","0","541","0","0","397","0","0","50","0","0","159","0","0","205","0","0","428","0","0","442","0","0","263","2","2","471","0","0","229","0","0","280","0","0","525","0","0","43","0","0","483","0","0","114","0","0","226","0","0","490","0","0","200.2.119.115"
"44","2",NULL,NULL,NULL,"12","0","0","486","0","0","173","3","2","383","0","0","118","0","0","308","0","0","517","0","0","336","3","2","8","0","0","527","0","0","97","0","0","167","0","0","105","0","0","435","3","2","348","0","0","29","0","0","259","0","0","54","0","0","163","2","2","209","0","0",NULL
